6781.899525133693, 3.525801647084e-8, 0, mean
6781.899525133699, 5.627191763341844e-8, 0, up
6781.899525133699, 1.2036865809248672e-8, 0, down
14671.904330782902, 3.6806765530325384e-8, 1, mean
14671.904330782841, 4.5144942220111206e-8, 1, up
14671.904330782841, 2.5816774636285803e-8, 1, down
31583.442094071503, 4.7381914214290646e-8, 2, mean
31426.592724119055, 5.5372043120116086e-8, 2, up
31583.442094071503, 3.9469901659700606e-8, 2, down
68327.35270166116, 2.1855290966476788e-8, 3, mean
68327.35270166089, 2.8438650557044033e-8, 3, up
67988.02609533808, 1.600297401751548e-8, 3, down
147084.7232125431, 2.2815309842102026e-8, 4, mean
146354.27255118696, 2.8286242646661097e-8, 4, up
147084.7232125431, 1.6977418146553754e-8, 4, down
318201.85178157326, 1.8551458664534569e-9, 5, mean
319789.98958600464, 1.8551458664534569e-9, 5, up
319789.98958600464, 1.845203801713269e-9, 5, down
681574.7822877464, 5.135922200911652e-10, 6, mean
681574.7822877464, 5.463315015382037e-9, 6, up
684976.5056662834, 1.0135246267919048e-10, 6, down
1467190.4330782841, 1.2565599029866583e-8, 7, mean
1459904.0868230744, 2.016279610929769e-8, 7, up
1467190.4330782841, 6.148909951672249e-9, 7, down
3158344.2094071503, 5.492751672475706e-9, 8, mean
3158344.2094071503, 5.492751672475706e-9, 8, up
3158344.2094071503, 5.492751672475706e-9, 8, down
6798802.609533808, 1.5206537539117254e-9, 9, mean
6798802.609533808, 1.537084640910565e-9, 9, up
6798802.609533808, 1.537084640910565e-9, 9, down
