1471.919849382291, 1.4707998164867062e-7, 0, med
1471.919849382291, 1.4707998164867062e-7, 0, up
1471.919849382291, 1.4707998164867062e-7, 0, low
3139.841617735737, 3.752990033901089e-8, 1, med
3139.841617735737, 3.752990033901089e-8, 1, up
3139.841617735737, 3.752990033901089e-8, 1, low
6845.708014429315, 1.090446396095625e-8, 2, up
6854.1491105980285, 3.105105416716228e-8, 2, med
6857.864092087409, 4.9194337083909686e-8, 2, low
14803.065745867885, 2.903753201108147e-8, 3, up
14806.947460510672, 3.627904761641525e-8, 3, med
14811.80103523572, 4.792102487668521e-8, 3, low
31812.631304288952, 4.054123088308618e-8, 4, up
31817.35818371714, 4.599296734760877e-8, 4, med
31821.3904888229, 5.121862497293616e-8, 4, low
68266.84924425514, 1.6268052797724486e-8, 5, up
68285.04882278045, 2.040061933407015e-8, 5, med
68670.76334787023, 2.4378082020426164e-8, 5, low
147427.19897197437, 1.4336174514724144e-8, 6, up
147468.43549804742, 1.817924601161035e-8, 6, med
148303.3690005663, 2.196680310350291e-8, 6, low
315370.79482603533, 3.9766540366595354e-10, 8, up
315727.92847915937, 1.0397357322435537e-9, 8, med
316234.6753876547, 4.058646681412511e-9, 8, low
679398.4752655945, 4.370249879808016e-9, 7, up
679927.1362215409, 8.460023935351757e-9, 7, med
683950.0574899323, 1.2677556432544998e-8, 7, low
1459440.885707523, 4.241372446639641e-9, 9, med
1465704.2343323338, 1.6101905959443192e-9, 9, up
1468409.5817282388, 7.70856828650595e-9, 9, low
3166816.1753627043, 2.1342796054515968e-9, 10, med
3166816.1753627043, 2.1342796054515968e-9, 10, up
3166816.1753627043, 2.1342796054515968e-9, 10, low
6832725.470346749, 8.660121936746705e-10, 11, med
6907205.6685075285, 8.628014888965352e-10, 11, up
6907205.6685075285, 8.628014888965352e-10, 11, low
31584853.50921714, 3.612243896220432e-9, 12, low
31674278.927405737, 3.985512394581185e-10, 12, up
31699202.701530438, 7.772714075292885e-10, 12, med
