0.02833149572303839, 1.0176448785680836e-9
0.11181045312426385, 1.5579315029280296e-9
0.19274201368120847, 2.4087127568231375e-9
0.2770514789376308, 3.4272691649409056e-9
0.3429302035609657, 4.108160626646668e-9
0.40582917063836077, 4.488743318201791e-9
0.47510857032401244, 5.1147076480381006e-9
0.5381181277968304, 5.360350374180858e-9
0.6015825140435941, 5.355629103334768e-9
0.6585395490453964, 5.191493414243301e-9
0.7446062488830246, 4.6421319411263755e-9
0.8626839807996304, 4.209025082692046e-9
0.9944959832709156, 3.46236634272311e-9
1.0855070305120926, 3.0371774198641684e-9
1.1709671138923499, 2.715984058247007e-9
1.236857055408763, 2.415322812015815e-9
1.2823479125944006, 2.2645187190711804e-9
1.3752140617977875, 1.9705892249782775e-9
1.4502012338330519, 1.7358816583929733e-9
1.516087882554864, 1.5621871623787557e-9
1.5798804605758399, 1.4230260861755296e-9
1.6724409159055553, 1.2034299971683447e-9
1.7357089365986575, 1.103692549004787e-9
1.800024727938045, 1.003433512013659e-9
1.8817197617718304, 8.8901188497136e-10
1.973886372412645, 7.760995530823366e-10
2.036893937626187, 7.095102222957914e-10
2.1057240805699013, 6.447142452875851e-10
2.181628583825079, 5.738468342217582e-10
2.268966571072913, 5.134797822831827e-10
2.341316112885302, 4.5938970474044254e-10
2.4043500494902545, 4.2805784493189386e-10
2.473285164153943, 3.9243349440258774e-10
2.5357162369706057, 3.607719983871784e-10
2.601592964442662, 3.365177381230144e-10
2.667468576220137, 3.151614913790108e-10
2.733346871689757, 2.923134306152934e-10
2.7804044748928476, 2.753410289353199e-10
2.87483017128499, 2.4706113148813405e-10
2.969678290393323, 2.18285175634355e-10
3.034511598849338, 2.021903044450236e-10
3.1003891879290446, 1.8801130858171653e-10
3.161985548295527, 1.7786491509861174e-10
3.237375771988695, 1.5987442592873888e-10
3.313398981273325, 1.4565348905393225e-10
3.4140946788000615, 1.3170662557685776e-10
3.481577233365623, 1.243894601862983e-10
3.5473207212596525, 1.1822340232280113e-10
3.6038702020949684, 1.1263012825535254e-10
