1777.1730949480273, 1.0000000000000021e-7, 0, mean
1786.042923207367, 1.010805146770972e-7, 0, upper
1786.042923207367, 1.005388057802047e-7, 0, lower
5612.924353543297, 1.3223717382882035e-7, 1, mean
5612.924353543297, 1.6482996738572566e-7, 1, upper
5612.924353543297, 9.682726531430062e-8, 1, lower
17727.54712985388, 3.821762639933177e-8, 2, mean
17816.024892064033, 4.612580839945298e-8, 2, upper
17816.024892064033, 3.000863268800107e-8, 2, lower
56269.1390525042, 2.5816774636285803e-8, 3, mean
56269.1390525042, 2.9687851099555607e-8, 3, upper
56269.1390525042, 2.139053779482417e-8, 3, lower
176834.73159398683, 9.656745928044422e-9, 4, mean
177717.30949480273, 1.2769807899075607e-8, 4, upper
177717.30949480273, 6.453593902524517e-9, 4, lower
558504.9505519381, 1.0244759091403776e-8, 5, mean
561292.4353543286, 1.4763688241555756e-8, 5, upper
561292.4353543286, 5.375948205306158e-9, 5, lower
1781602.4892064033, 2.790878672203105e-9, 6, mean
1772754.7129853808, 2.7759218448490932e-9, 6, upper
1772754.7129853808, 2.7759218448490932e-9, 6, lower
5598969.582456635, 8.174955819233745e-9, 7, mean
5598969.582456635, 1.8205811215005937e-8, 7, upper
5626913.905250409, 1.0135246267919048e-10, 7, lower
